exam_testId,exam_name,exam_sub_name,exam_term,stu_id,mes_Score,historical_mean,historical_max,historical_min,historical_std,cla_grade,exam_category,counts,cla_id,stu_sex
135095,56,рТюж,8,13971,94.0,95.33333333333331,98.0,94.0,2.309401076758502,3.0,вэфю©╪йт,5.0,919,дп
135095,56,рТюж,8,14007,92.0,91.66666666666669,93.0,90.0,1.5275252316519483,1.0,вэфю©╪йт,4.0,837,дп
135095,56,рТюж,8,14011,90.0,84.33333333333333,90.0,80.0,5.131601439446884,1.0,вэфю©╪йт,17.0,837,дп
135095,56,рТюж,8,14013,90.0,82.33333333333333,90.0,77.0,6.8068592855540455,2.0,вэфю©╪йт,15.0,866,дп
135095,56,рТюж,8,14014,92.0,82.33333333333333,92.0,75.0,8.736894948054104,2.0,вэфю©╪йт,2.0,866,дп
135095,56,рТюж,8,14043,94.0,94.66666666666669,97.0,93.0,2.081665999466134,2.0,вэфю©╪йт,15.0,811,дп
135095,56,рТюж,8,14044,92.0,83.33333333333333,92.0,78.0,7.571877794400362,2.0,вэфю©╪йт,2.0,866,дп
135095,56,рТюж,8,14051,90.0,85.33333333333333,90.0,81.0,4.5092497528228925,2.0,вэфю©╪йт,8.0,866,дп
135095,56,рТюж,8,14061,94.0,94.0,95.0,93.0,1.0,1.0,вэфю©╪йт,11.0,837,дп
135095,56,рТюж,8,14067,92.0,81.33333333333333,92.0,72.0,10.06644591369433,2.0,вэфю©╪йт,2.0,866,дп
135095,56,рТюж,8,14079,90.0,78.33333333333333,90.0,65.0,12.583057392117913,2.0,вэфю©╪йт,1.0,866,дп
135095,56,рТюж,8,14090,90.0,81.66666666666667,90.0,75.0,7.637626158259735,3.0,вэфю©╪йт,10.0,919,дп
135095,56,рТюж,8,14125,90.0,88.66666666666669,90.0,88.0,1.1547005383792526,3.0,вэфю©╪йт,5.0,919,дп
135095,56,рТюж,8,14132,90.0,82.0,90.0,76.0,7.211102550927977,2.0,вэфю©╪йт,5.0,866,дп
135095,56,рТюж,8,14135,90.0,84.0,90.0,77.0,6.5574385243019995,2.0,вэфю©╪йт,2.0,866,дп
135095,56,рТюж,8,14136,90.0,81.66666666666667,90.0,75.0,7.637626158259735,2.0,вэфю©╪йт,6.0,866,дп
135095,56,рТюж,8,14139,90.0,78.33333333333333,90.0,65.0,12.583057392117913,3.0,вэфю©╪йт,7.0,919,дп
135095,56,рТюж,8,14144,92.0,91.66666666666669,93.0,90.0,1.5275252316519483,2.0,вэфю©╪йт,8.0,866,дп
135095,56,рТюж,8,14153,92.0,82.33333333333333,92.0,75.0,8.736894948054104,3.0,вэфю©╪йт,15.0,919,дп
135095,56,рТюж,8,14177,90.0,80.0,90.0,70.0,10.0,2.0,вэфю©╪йт,3.0,866,дп
135095,56,рТюж,8,14178,90.0,81.66666666666667,90.0,75.0,7.637626158259735,3.0,вэфю©╪йт,21.0,919,дп
135095,56,рТюж,8,14184,90.0,82.66666666666667,90.0,78.0,6.429100507328638,2.0,вэфю©╪йт,1.0,866,дп
135095,56,рТюж,8,14200,93.0,82.66666666666667,93.0,75.0,9.29157324317757,2.0,вэфю©╪йт,3.0,866,дп
135095,56,рТюж,8,14206,90.0,84.0,90.0,80.0,5.291502622129181,2.0,вэфю©╪йт,6.0,866,дп
135095,56,рТюж,8,14211,92.0,80.66666666666667,92.0,70.0,11.015141094572208,3.0,вэфю©╪йт,7.0,919,дп
135095,56,рТюж,8,14222,90.0,83.33333333333333,90.0,80.0,5.773502691896256,2.0,вэфю©╪йт,4.0,866,дп
135095,56,рТюж,8,14245,92.0,89.0,92.0,85.0,3.6055512754639887,2.0,вэфю©╪йт,16.0,866,дп
135095,56,рТюж,8,14251,93.0,92.0,93.0,91.0,1.0,2.0,вэфю©╪йт,6.0,866,дп
135095,56,рТюж,8,14253,90.0,82.66666666666667,90.0,78.0,6.429100507328638,2.0,вэфю©╪йт,7.0,866,дп
135095,56,рТюж,8,14258,94.0,94.33333333333331,97.0,92.0,2.5166114784235822,3.0,вэфю©╪йт,11.0,919,дп
135095,56,рТюж,8,14281,92.0,84.66666666666667,92.0,80.0,6.429100507328638,3.0,вэфю©╪йт,6.0,919,дп
135095,56,рТюж,8,14291,94.0,94.66666666666669,97.0,93.0,2.081665999466134,3.0,вэфю©╪йт,12.0,919,дп
135095,56,рТюж,8,14297,92.0,82.33333333333333,92.0,75.0,8.736894948054104,3.0,вэфю©╪йт,1.0,919,дп
135095,56,рТюж,8,14313,90.0,79.33333333333333,90.0,68.0,11.015141094572202,3.0,вэфю©╪йт,10.0,919,дп
135095,56,рТюж,8,14324,90.0,80.0,90.0,70.0,10.0,2.0,вэфю©╪йт,9.0,866,дп
135095,56,рТюж,8,14326,94.0,94.0,96.0,92.0,2.0,2.0,вэфю©╪йт,6.0,866,дп
135095,56,рТюж,8,14342,90.0,84.33333333333333,90.0,80.0,5.131601439446884,3.0,вэфю©╪йт,7.0,919,дп
135095,56,рТюж,8,14347,90.0,84.66666666666667,90.0,80.0,5.033222956847167,3.0,вэфю©╪йт,1.0,919,дп
135095,56,рТюж,8,14348,90.0,85.66666666666667,90.0,82.0,4.0414518843273814,2.0,вэфю©╪йт,7.0,866,дп
135095,56,рТюж,8,14361,90.0,80.0,90.0,70.0,10.0,3.0,вэфю©╪йт,15.0,919,дп
135095,56,рТюж,8,14362,92.0,85.0,92.0,80.0,6.2449979983983965,3.0,вэфю©╪йт,10.0,919,дп
135095,56,рТюж,8,14373,95.0,96.0,98.0,95.0,1.7320508075688772,2.0,вэфю©╪йт,7.0,866,дп
135083,56,рТюж,8,13960,90.0,86.66666666666669,90.0,85.0,2.88675134594813,2.0,вэфю©╪йт,8.0,865,дп
135083,56,рТюж,8,13992,92.0,92.0,92.0,92.0,0.0,2.0,вэфю©╪йт,1.0,865,дп
135083,56,рТюж,8,14017,91.0,87.0,91.0,80.0,6.0827625302982185,1.0,вэфю©╪йт,8.0,836,дп
135083,56,рТюж,8,14028,92.0,85.33333333333333,92.0,80.0,6.110100926607786,2.0,вэфю©╪йт,7.0,865,дп
135083,56,рТюж,8,14038,92.0,88.33333333333331,92.0,85.0,3.511884584284246,1.0,вэфю©╪йт,15.0,836,дп
135083,56,рТюж,8,14042,91.0,82.0,91.0,75.0,8.18535277187245,2.0,вэфю©╪йт,5.0,865,дп
135083,56,рТюж,8,14055,92.0,82.33333333333333,92.0,75.0,8.736894948054104,2.0,вэфю©╪йт,9.0,865,дп
135083,56,рТюж,8,14056,90.0,88.33333333333331,90.0,85.0,2.88675134594813,1.0,вэфю©╪йт,10.0,836,дп
135083,56,рТюж,8,14070,90.0,92.0,96.0,90.0,3.4641016151377544,3.0,вэфю©╪йт,7.0,924,дп
135083,56,рТюж,8,14074,92.0,91.33333333333331,92.0,90.0,1.1547005383792526,2.0,вэфю©╪йт,11.0,865,дп
135083,56,рТюж,8,14078,90.0,82.0,90.0,76.0,7.211102550927977,2.0,вэфю©╪йт,12.0,865,дп
135083,56,рТюж,8,14080,92.0,86.33333333333331,92.0,80.0,6.0277137733417065,2.0,вэфю©╪йт,1.0,865,дп
